id,age,job_type,marital_status,salary,education_level,bad_credit,mortgage,credit_cards,contact_type,contact_month,contact_weekday,contacts,days_since_contact,previous,cust_lifetime_value,subscribed
74,45,services,married,52770,trade school,no,yes,no,email,may,mon,1,999,0,7857,0
75,40,management,married,126917,university,no,no,no,mobile,jul,mon,2,999,0,5584,1
76,45,services,married,52857,trade school,no,no,no,email,aug,thu,18,999,0,7244,0
77,43,technician,divorced,92441,university,unknown,no,no,email,may,mon,2,999,0,5285,1
78,54,laborer,married,52425,trade school,unknown,yes,yes,email,may,mon,3,999,0,5584,1
79,53,technician,divorced,59089,trade school,no,no,no,email,may,tue,1,999,0,6301,0
80,35,self-employed,single,134550,university,no,yes,no,mobile,jul,thu,1,999,0,5714,1
81,30,technician,single,61087,trade school,no,yes,no,mobile,aug,fri,1,999,0,8045,0
82,25,technician,married,45777,trade school,no,yes,no,email,jun,wed,2,999,0,7248,0
83,35,services,divorced,56729,trade school,no,no,yes,mobile,aug,thu,1,999,0,7433,1
84,54,administrative,married,77114,university,no,yes,no,mobile,mar,mon,1,999,0,5591,1
85,30,laborer,married,34656,elementary,no,no,no,mobile,jul,mon,2,999,0,5969,0
86,38,administrative,married,114899,university,unknown,yes,no,mobile,aug,tue,1,999,0,6606,1
87,35,administrative,married,147952,university,no,yes,no,mobile,oct,thu,1,999,1,8302,1
88,47,laborer,married,49151,trade school,unknown,yes,no,email,may,wed,1,999,0,8196,0
89,32,laborer,single,63436,high school,no,yes,no,mobile,jul,tue,3,999,0,8554,0
90,27,laborer,married,33490,elementary,no,yes,no,email,may,tue,1,999,0,6395,0
91,40,laborer,married,33194,elementary,no,unknown,unknown,email,nov,thu,1,999,0,8883,1
92,31,administrative,married,60878,high school,no,no,no,email,may,mon,3,999,0,7955,0
93,42,laborer,divorced,33145,elementary,no,no,no,mobile,apr,mon,2,999,0,5525,0
94,40,laborer,married,24234,elementary,no,yes,no,mobile,may,thu,4,999,0,5000,0
95,31,administrative,single,53804,high school,no,yes,no,mobile,nov,wed,1,999,0,7138,0
96,57,technician,married,23142,elementary,unknown,no,no,email,jun,thu,2,999,0,6098,0
97,38,administrative,single,43631,high school,no,yes,no,mobile,apr,thu,1,6,1,7771,1
98,39,services,married,46474,high school,unknown,no,no,email,may,mon,2,999,0,5030,0
99,37,administrative,divorced,39654,high school,unknown,yes,yes,email,may,wed,5,999,0,5334,1
100,50,unemployed,married,49453,trade school,unknown,yes,yes,mobile,jul,thu,1,999,0,8924,1
101,33,laborer,single,28947,elementary,no,yes,yes,mobile,apr,thu,1,999,0,7425,1
102,41,laborer,married,26684,elementary,no,unknown,unknown,email,jun,tue,1,999,0,6405,0
103,37,entrepreneur,married,31947,elementary,unknown,unknown,unknown,email,may,fri,1,999,0,8127,0
104,25,student,single,52468,high school,no,no,no,mobile,apr,wed,1,999,0,7168,0
105,35,administrative,married,63255,high school,unknown,no,no,mobile,jul,fri,1,999,0,7918,0
106,46,management,married,104050,university,no,no,no,mobile,jul,mon,2,999,0,9119,1
107,29,administrative,divorced,65462,university,no,no,no,email,jun,mon,3,999,0,7069,1
108,35,administrative,married,69578,university,no,yes,no,mobile,aug,thu,4,999,0,8503,1
109,48,entrepreneur,single,51328,trade school,no,yes,no,mobile,may,wed,3,999,0,7133,0
110,31,self-employed,single,99994,university,no,no,no,mobile,oct,fri,1,999,0,6915,1
111,33,laborer,divorced,25730,elementary,no,no,yes,email,may,thu,6,999,1,7106,1
112,63,retired,divorced,132025,university,no,no,yes,mobile,jul,thu,1,999,1,6798,1
113,38,administrative,married,46725,high school,no,yes,no,mobile,nov,tue,2,999,0,6834,0
114,34,administrative,divorced,51204,high school,no,no,no,mobile,nov,tue,2,6,3,7419,1
115,34,services,divorced,52234,high school,no,no,no,email,jul,thu,4,999,0,8532,0
116,47,management,married,85554,university,no,yes,no,email,may,wed,2,3,3,6707,1
117,27,laborer,single,32396,elementary,no,yes,no,email,may,wed,1,999,0,9245,0
118,24,administrative,single,62038,university,no,no,no,mobile,aug,fri,1,999,2,9462,1
119,36,laborer,married,29540,elementary,no,yes,no,mobile,may,wed,3,999,0,7257,0
120,29,services,single,39790,high school,unknown,no,no,email,jun,mon,2,999,0,5546,0
121,58,retired,married,30975,elementary,no,yes,no,email,jun,mon,1,999,0,7059,0
122,40,technician,married,58753,trade school,no,no,no,mobile,aug,tue,1,999,0,5678,0
123,31,administrative,single,130105,university,no,yes,no,mobile,aug,thu,8,999,0,7030,1
124,60,retired,married,32439,elementary,yes,no,no,mobile,aug,tue,3,999,0,5125,0
125,58,housekeeping,married,22999,elementary,yes,yes,no,email,jul,tue,1,999,0,5690,0
126,32,laborer,single,22601,elementary,no,yes,no,mobile,jul,tue,2,999,0,8845,0
127,54,administrative,divorced,159829,university,no,no,no,email,jun,tue,4,999,0,6475,1
128,43,technician,married,60946,trade school,yes,yes,no,mobile,aug,mon,2,999,0,7576,0
129,48,retired,married,26854,elementary,unknown,no,no,email,jun,wed,8,999,0,7940,0
130,33,administrative,married,124148,university,no,yes,no,mobile,nov,thu,1,999,0,7997,1
131,37,laborer,married,33314,elementary,unknown,no,no,email,jul,mon,2,999,0,9108,0
132,35,services,divorced,53710,trade school,unknown,no,no,email,may,wed,2,999,0,6640,0
133,34,services,married,41182,high school,no,no,no,email,may,thu,1,999,0,7905,0
134,30,technician,single,149129,university,no,yes,no,mobile,aug,thu,17,999,0,6405,1
135,38,administrative,married,27813,elementary,unknown,yes,no,email,jun,mon,1,999,0,5543,0
136,29,technician,divorced,55583,trade school,unknown,yes,no,mobile,may,fri,5,999,1,7713,0
137,49,entrepreneur,married,152715,university,no,yes,no,mobile,apr,mon,1,999,0,5687,1
138,48,management,divorced,72899,university,no,no,no,mobile,aug,fri,1,999,0,7783,1
139,33,management,married,59468,high school,no,yes,no,mobile,jul,wed,2,999,0,5766,0
140,33,administrative,single,139330,university,no,yes,yes,email,apr,wed,1,999,0,6430,1
141,42,management,married,88075,university,no,no,no,email,may,fri,1,999,0,6488,1
142,39,administrative,married,149292,university,no,no,no,email,jun,tue,1,999,0,5928,1
143,55,entrepreneur,married,102826,university,unknown,yes,yes,mobile,nov,tue,2,999,0,7392,1
144,46,management,married,131949,university,unknown,yes,no,email,may,thu,3,999,0,8477,1
145,55,laborer,divorced,23157,elementary,unknown,no,yes,email,jun,tue,3,999,0,5323,1
146,42,entrepreneur,married,154585,university,no,yes,no,mobile,nov,fri,1,999,1,9491,1
147,24,student,single,58978,high school,unknown,yes,no,mobile,may,wed,1,999,1,6175,0
148,49,laborer,married,27898,elementary,unknown,yes,no,mobile,aug,thu,1,999,0,8343,0
149,38,administrative,married,32076,unknown,no,no,yes,mobile,jul,wed,3,999,0,5734,1
150,34,administrative,married,124303,university,unknown,no,no,mobile,aug,tue,1,999,0,7286,1
151,46,laborer,married,27265,elementary,unknown,no,no,mobile,jul,fri,1,999,0,7553,0
152,45,technician,married,47188,trade school,unknown,yes,no,mobile,aug,thu,5,999,0,5708,0
153,40,administrative,married,22365,elementary,no,yes,no,mobile,jul,thu,4,999,0,7930,0
154,46,administrative,divorced,34460,elementary,unknown,no,no,email,may,wed,1,999,0,7569,0
155,31,laborer,single,24718,elementary,no,no,no,email,jun,wed,7,999,0,5162,0
156,57,self-employed,married,29156,elementary,unknown,yes,yes,email,may,tue,1,999,0,9200,1
157,36,administrative,married,149535,university,no,no,no,mobile,may,mon,3,999,0,8721,1
158,50,technician,married,61351,trade school,no,unknown,unknown,mobile,nov,tue,2,999,1,5495,0
159,32,administrative,single,51491,high school,no,yes,yes,mobile,apr,wed,1,999,0,9437,1
160,38,administrative,single,98104,university,no,yes,no,mobile,jul,mon,2,999,0,5834,1
161,50,administrative,married,111025,university,no,unknown,unknown,mobile,may,wed,1,999,1,9123,1
162,42,laborer,married,25798,elementary,no,yes,no,email,jun,thu,2,999,0,8477,0
163,31,technician,married,47567,trade school,no,yes,no,mobile,aug,wed,2,999,0,7274,0
164,27,unemployed,single,71604,university,no,yes,no,mobile,jul,tue,1,999,0,7146,0
165,44,self-employed,divorced,37647,high school,no,yes,no,email,jun,mon,1,999,0,7442,0
166,26,housekeeping,single,35781,high school,yes,yes,yes,email,jul,thu,1,999,0,7091,1
167,30,laborer,single,50047,high school,unknown,yes,no,mobile,may,thu,1,999,0,8171,0
168,39,self-employed,single,42988,high school,no,yes,no,mobile,nov,fri,1,999,0,6055,0
169,64,retired,married,32679,unknown,no,no,no,mobile,aug,fri,4,999,0,7540,1
170,36,management,married,118076,university,no,unknown,unknown,mobile,sep,wed,1,6,4,7239,1
171,42,laborer,married,28761,elementary,unknown,yes,no,email,may,wed,4,999,0,7019,0
172,42,services,single,51562,high school,no,no,no,mobile,may,thu,2,999,0,8399,0
173,40,administrative,divorced,48659,high school,no,no,no,mobile,jul,wed,3,999,0,8045,0
174,34,services,married,64565,high school,no,no,yes,mobile,may,wed,2,999,1,8881,1
175,31,laborer,married,25875,elementary,no,yes,yes,email,may,thu,2,999,0,5476,1
176,49,administrative,single,66920,university,no,no,no,email,may,fri,3,999,0,7556,1
177,35,unemployed,divorced,30214,elementary,no,no,no,mobile,jul,thu,7,999,0,9037,0
178,60,administrative,married,32074,unknown,unknown,no,yes,email,may,mon,2,999,0,5456,1
179,38,administrative,divorced,26384,elementary,no,no,no,mobile,nov,fri,1,999,0,7368,0
180,32,management,married,51551,trade school,no,no,no,mobile,may,thu,1,999,1,9007,0
181,50,self-employed,married,34552,elementary,no,yes,yes,mobile,may,mon,6,3,1,7485,1
182,41,administrative,married,112173,university,no,yes,no,mobile,apr,fri,6,999,0,7665,1
183,45,administrative,married,36265,high school,no,no,no,email,may,wed,2,999,0,7909,0
184,46,laborer,married,26504,elementary,no,no,yes,email,jun,tue,2,999,0,7834,1
185,55,unknown,married,26023,elementary,unknown,yes,no,email,may,mon,1,999,0,5632,0
186,33,technician,divorced,46715,trade school,no,yes,no,email,may,fri,1,999,0,7226,0
187,45,laborer,married,23549,unknown,yes,no,no,email,may,mon,1,999,0,8271,0
188,29,laborer,married,36806,high school,no,yes,no,mobile,may,wed,1,999,0,9030,0
189,42,technician,married,41201,high school,unknown,no,no,mobile,jul,wed,2,999,0,5998,0
190,39,housekeeping,married,144773,university,no,yes,no,email,may,mon,2,999,0,7394,1
191,58,laborer,married,30492,unknown,unknown,yes,no,mobile,jul,thu,4,999,0,6824,0
192,32,management,divorced,68676,university,no,yes,no,mobile,jul,tue,4,999,0,8636,1
193,44,technician,divorced,60422,trade school,unknown,yes,no,mobile,apr,thu,3,999,1,9083,0
194,49,self-employed,married,61035,trade school,no,no,no,email,may,fri,2,999,0,6531,0
195,29,laborer,married,32867,elementary,no,yes,no,mobile,may,thu,4,999,0,7740,0
196,51,management,married,141572,university,no,no,no,email,jun,wed,17,999,0,8588,1
197,36,administrative,married,72850,university,no,yes,no,mobile,aug,thu,8,999,0,7386,1
198,23,management,single,96416,university,no,yes,no,mobile,apr,mon,1,999,0,7519,1
199,31,management,single,118086,university,no,yes,no,mobile,aug,mon,1,999,0,7430,1
200,32,technician,married,28734,unknown,no,yes,no,mobile,jul,fri,2,999,0,7787,0
201,58,self-employed,divorced,58251,trade school,no,no,no,email,jun,thu,1,999,0,5823,0
202,31,services,single,60553,high school,no,yes,no,mobile,jul,wed,20,999,0,8847,0
203,32,laborer,married,51516,trade school,no,yes,no,mobile,may,fri,2,999,0,5817,0
204,43,unemployed,married,62799,high school,no,no,no,mobile,aug,thu,4,3,2,8352,1
205,48,administrative,divorced,54169,trade school,no,yes,no,email,may,fri,3,999,0,6359,0
206,28,administrative,single,53807,high school,no,yes,no,mobile,jul,thu,2,999,0,7585,0
207,52,services,unknown,56782,trade school,no,yes,no,email,jun,fri,2,999,0,7566,0
208,36,management,married,93876,university,no,no,no,email,jun,thu,1,999,0,5243,1
209,39,administrative,divorced,62573,high school,no,yes,yes,mobile,apr,thu,2,999,0,5651,1
210,39,laborer,married,32911,unknown,unknown,yes,no,email,jul,tue,5,999,0,6114,0
211,50,management,married,108845,university,no,yes,no,email,oct,thu,1,999,1,8316,1
212,29,administrative,single,101673,university,no,yes,no,mobile,nov,fri,1,999,0,8607,1
213,49,technician,divorced,53573,trade school,no,yes,no,mobile,may,tue,3,999,0,6486,0
214,36,laborer,married,22355,elementary,no,no,no,mobile,nov,wed,1,999,0,6350,0
215,29,laborer,married,27949,elementary,unknown,yes,no,mobile,may,thu,6,999,0,5748,0
216,27,entrepreneur,single,86629,university,no,no,no,email,jun,tue,3,999,0,6913,1
217,31,laborer,married,23399,elementary,no,yes,no,mobile,jul,wed,1,999,0,8384,0
218,43,management,single,40132,high school,no,no,no,mobile,nov,fri,1,999,0,5932,0
219,32,laborer,married,34812,unknown,no,no,no,mobile,nov,thu,4,999,0,8649,0
220,45,laborer,married,37472,high school,unknown,yes,no,mobile,aug,wed,2,999,0,7863,0
221,56,laborer,married,32208,elementary,no,no,no,email,jun,wed,2,999,0,6401,0
222,38,administrative,married,53851,high school,no,unknown,unknown,email,may,wed,16,999,0,5331,0
223,35,laborer,married,22631,elementary,unknown,no,no,email,may,thu,1,999,0,8238,0
224,30,administrative,single,79604,university,no,yes,no,mobile,aug,fri,1,999,2,6581,1
225,46,management,married,139263,university,unknown,no,no,mobile,apr,fri,1,999,0,9378,1
226,43,laborer,married,23310,elementary,no,yes,no,mobile,may,thu,4,999,2,7366,0
227,38,technician,married,150370,university,unknown,no,no,email,may,thu,2,999,0,7014,1
228,52,retired,married,82651,university,no,yes,no,email,nov,thu,2,999,0,5681,1
229,30,technician,unknown,107239,university,no,no,no,mobile,oct,fri,2,16,1,8319,1
230,31,unemployed,married,56825,high school,yes,no,no,mobile,nov,tue,2,999,1,6173,0
231,31,laborer,single,34841,elementary,unknown,yes,no,mobile,may,fri,1,999,0,5131,0
232,24,technician,single,47606,trade school,no,no,no,mobile,may,thu,1,999,1,6820,0
233,34,administrative,single,154910,university,no,yes,no,mobile,jul,tue,2,999,0,7932,1
234,48,administrative,married,25561,unknown,no,no,no,mobile,aug,thu,1,999,0,7002,0
235,30,administrative,married,87002,university,no,yes,no,mobile,aug,thu,1,999,0,5927,1
236,23,laborer,single,48880,high school,yes,yes,no,mobile,jul,mon,4,999,0,6623,0
237,20,entrepreneur,single,59856,high school,no,no,no,email,may,thu,3,999,0,5953,0
238,43,administrative,divorced,35249,high school,no,no,no,mobile,jul,mon,3,999,0,9179,0
239,26,services,single,51422,high school,no,no,no,mobile,may,mon,2,999,2,5463,0
240,58,unemployed,single,25694,elementary,unknown,no,no,email,jun,mon,6,999,0,6068,0
241,26,administrative,single,148721,university,no,yes,no,mobile,may,tue,5,999,0,5079,1
242,35,administrative,married,48643,high school,unknown,yes,no,email,may,fri,14,999,0,6203,0
243,35,administrative,married,36266,high school,unknown,no,no,mobile,jul,mon,3,999,0,8210,0
244,59,administrative,divorced,53639,trade school,no,no,no,mobile,aug,tue,1,999,1,8971,1
245,54,laborer,married,27402,elementary,unknown,no,no,email,may,mon,1,999,0,7769,0
246,37,laborer,divorced,22133,elementary,no,yes,no,mobile,jul,thu,2,999,0,6396,0
247,46,technician,divorced,52448,trade school,no,no,no,email,jun,wed,2,999,0,7222,0
248,52,services,married,39669,high school,yes,no,no,mobile,jul,mon,6,999,0,9477,0
249,52,management,married,113483,university,no,yes,no,mobile,nov,tue,1,999,0,8573,1
250,32,student,single,81641,university,no,no,no,mobile,may,fri,1,999,0,5814,1
251,33,services,married,27540,elementary,no,no,no,email,may,tue,4,999,0,7011,0
252,33,technician,divorced,52035,high school,no,yes,no,mobile,may,tue,1,999,0,8038,0
253,42,technician,single,26177,unknown,no,no,no,email,may,mon,2,999,0,9207,0
254,38,laborer,divorced,29935,unknown,no,yes,no,email,may,thu,2,999,0,6994,0
255,43,laborer,married,44559,high school,unknown,yes,no,email,may,tue,1,999,0,9296,0
256,49,administrative,divorced,74726,university,no,no,no,email,may,fri,1,999,0,7816,1
257,30,laborer,married,33378,elementary,no,unknown,unknown,email,may,wed,3,999,0,7293,0
258,37,technician,married,54495,trade school,no,no,no,mobile,apr,fri,2,999,0,5693,0
259,47,laborer,married,60192,trade school,no,no,no,mobile,jul,mon,2,999,0,5093,0
260,32,laborer,married,23418,elementary,no,yes,no,email,nov,thu,8,999,0,7369,0
261,32,unemployed,married,72673,university,no,yes,no,mobile,jul,fri,2,999,0,6870,0
262,35,services,divorced,88389,university,no,yes,no,mobile,may,mon,1,999,0,5472,1
263,36,management,divorced,140819,university,no,unknown,unknown,mobile,may,fri,1,999,0,6481,1
264,41,laborer,married,33695,elementary,no,yes,no,mobile,may,wed,2,999,0,7933,0
265,48,laborer,married,31994,elementary,no,yes,no,email,aug,fri,2,999,0,7532,0
266,43,technician,married,48330,high school,no,no,no,mobile,jul,wed,7,999,0,9049,0
267,57,technician,married,111600,university,no,no,no,email,may,fri,2,999,0,9183,1
268,28,entrepreneur,married,100502,university,unknown,no,no,mobile,apr,mon,2,999,0,7354,1
269,30,services,single,50257,high school,unknown,no,no,email,jul,thu,18,999,0,6089,0
270,27,student,single,40539,high school,no,no,no,mobile,may,mon,2,999,1,9417,0
271,44,laborer,married,33983,elementary,unknown,yes,no,email,may,tue,1,999,0,8080,0
272,43,services,married,31261,elementary,no,no,no,email,jun,thu,17,999,0,7215,0
273,28,technician,married,25742,elementary,no,yes,no,mobile,may,wed,1,999,1,6354,0
274,34,laborer,married,29414,elementary,no,no,no,mobile,may,tue,1,999,0,7930,0
275,32,services,married,47335,high school,no,yes,no,email,jul,thu,2,999,0,9229,0
276,30,administrative,single,88383,university,no,yes,no,mobile,aug,fri,10,999,0,5829,1
277,45,administrative,divorced,130336,university,no,no,no,mobile,jul,fri,1,999,0,8891,1
278,49,laborer,married,30856,elementary,unknown,yes,no,email,may,wed,1,999,0,6894,0
279,45,laborer,married,48469,high school,no,yes,no,email,may,thu,5,999,0,5053,0
280,56,technician,married,32856,elementary,no,yes,no,email,may,wed,2,999,0,5811,0
281,48,administrative,single,72672,university,no,yes,no,mobile,aug,wed,1,0,2,8607,1
282,42,unemployed,married,60243,high school,no,yes,no,mobile,nov,tue,2,999,0,9493,0
283,51,management,married,147418,university,no,yes,yes,email,jun,mon,2,999,0,6576,1
284,54,laborer,married,32491,elementary,no,no,no,mobile,jun,fri,2,999,0,8014,1
285,40,administrative,married,155028,university,no,yes,no,mobile,aug,wed,2,999,0,7310,1
286,47,laborer,single,26521,elementary,no,yes,no,email,may,thu,1,999,0,8759,0
287,29,technician,single,126392,university,no,no,no,mobile,aug,wed,6,999,0,8844,1
288,37,administrative,married,112006,university,no,yes,yes,mobile,jun,mon,2,999,0,6138,1
289,35,technician,married,26363,elementary,no,no,no,email,may,wed,1,999,0,5970,0
290,54,technician,married,52047,trade school,no,yes,no,mobile,nov,tue,2,999,0,9176,0
291,45,unknown,married,148142,university,no,yes,no,mobile,may,thu,1,999,1,8383,1
292,35,administrative,single,121267,university,no,yes,no,mobile,jul,fri,2,999,0,8914,1
293,37,laborer,married,52281,trade school,no,yes,no,mobile,may,mon,1,999,1,6593,0
294,38,management,married,33590,elementary,no,yes,no,email,may,tue,1,999,0,8402,1
295,33,laborer,married,27826,elementary,unknown,yes,no,email,may,mon,2,999,0,6366,0
296,31,laborer,divorced,29002,elementary,no,yes,no,email,jun,thu,2,999,0,8715,0
297,34,administrative,married,120515,university,unknown,no,no,email,may,thu,1,999,0,6192,1
298,51,laborer,divorced,56656,high school,no,no,no,mobile,may,tue,2,999,0,7898,0
299,38,laborer,married,59556,high school,unknown,yes,no,mobile,may,wed,1,999,1,7626,0
300,25,administrative,single,22902,elementary,no,no,no,mobile,jul,thu,3,999,0,7009,0
301,35,technician,single,58026,trade school,no,yes,no,mobile,aug,wed,6,999,0,8416,0
302,55,self-employed,married,81766,university,no,yes,no,mobile,may,mon,2,999,0,6774,1
303,37,administrative,married,40033,high school,yes,yes,no,email,may,mon,1,999,0,7432,0
304,31,technician,married,47220,high school,no,no,no,mobile,aug,thu,3,999,0,7899,0
305,36,services,married,35030,high school,no,unknown,unknown,email,may,thu,4,999,0,9197,0
306,59,retired,married,34301,elementary,unknown,yes,yes,email,may,wed,1,999,0,8257,1
307,37,laborer,married,32385,elementary,no,no,no,email,oct,fri,1,999,0,8528,0
308,74,retired,divorced,42940,high school,no,yes,yes,email,dec,mon,6,999,0,5885,1
309,44,technician,divorced,27630,elementary,unknown,yes,yes,email,may,tue,2,999,0,5122,1
310,29,technician,single,55830,trade school,no,no,no,mobile,aug,mon,3,999,0,7755,0
311,32,services,married,28951,elementary,no,yes,yes,mobile,nov,mon,1,999,0,8132,1
312,45,services,divorced,30897,elementary,no,yes,no,mobile,apr,mon,1,999,0,7930,0
313,49,laborer,married,26470,unknown,unknown,no,no,email,jun,wed,4,999,0,5244,0
314,25,services,single,25484,unknown,no,no,no,email,jul,fri,4,999,0,6640,0
315,34,laborer,divorced,29723,elementary,unknown,yes,no,mobile,jul,mon,2,999,0,7275,0
316,37,technician,single,61634,trade school,no,yes,no,mobile,aug,thu,1,999,0,6884,0
317,48,technician,single,88111,university,unknown,yes,no,mobile,aug,tue,2,999,0,7888,1
318,52,services,married,64592,high school,no,yes,no,email,aug,mon,2,999,0,7585,0
319,30,technician,single,56541,trade school,no,no,no,mobile,aug,tue,3,999,0,7873,0
